書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
影后：比夜色更寂寞,真月,愛情,連載,2959,獨家原創,跨域,求而不得,演藝圈,,,https://mojoin.com/novels/3781,"★ 臺灣原創熱播影集《影后》獨家授權改編小說推薦
一窺角色內心，揭露成名背後不可告人的祕密心事

二十八歲的史艾瑪，擁有了曾經夢寐以求的一切──
接不完的戲約、重要獎項的肯定、一線女星的地位，
然而每當在夜裡獨處，她總會被洶湧而至的寂寞吞噬。
原來有了那些還不夠，她還想要有人真心待她。
這樣很貪心嗎？但人總是貪心的，不是嗎？

直到某天，一名年輕的新人男演員出現在她面前，
他對她的刻意討好，是那般顯而易見。
史艾瑪在男演員身上看見了自己的影子，
他和當年的她一樣懷才不遇、一樣渴望成功……"
逆天萌寶，妖皇爹爹別搶娘親,小魚兒不愛花無缺,愛情,完結,,,,,,,,,
逆天毒妃：絕色魔尊乖乖受寵,甜茶茶,愛情,完結,,,,,,,,,
放過我吧，公爵大人！,湯元元,愛情,連載,,,,,,,,,
指數化愛情,小非,愛情,連載,,,,,,,,,
離開的一路上,授權改編／理想混蛋　作者／晨羽,愛情,完結,,,,,,,,,
小紫,授權改編／芒果醬　作者／李柏青,愛情,完結,,,,,,,,,
往矣,馮子緣,愛情,完結,,,,,,,,,
A子不會預言自己死亡01,午夜藍,愛情,完結,,,,,,,,,
遺失的角落,馮子緣,愛情,連載,,,,,,,,,
墮天使的羽翼,海空,愛情,完結,,,,,,,,,
渣男進化論,烏瞳貓,愛情,完結,,,,,,,,,
半與伴,胡書,愛情,完結,,,,,,,,,
戀人,小說/程雪森、授權/美秀集團,愛情,完結,,,,,,,,,
月旁月光,小說/瑪琪朵、授權/怕胖團,愛情,完結,,,,,,,,,
能不能和我留在台北（陪我幾天）,小說/吐維、授權/icyball冰球樂團,愛情,完結,,,,,,,,,
我在愛情的盡頭看見了你和我,小說/潘柏霖、授權/老王樂隊,愛情,完結,,,,,,,,,
守天誅,瀰霜,愛情,完結,,,,,,,,,
愛上喝白開水的男孩,白夜,愛情,完結,,,,,,,,,
【花神淚】《冽雪凝嫣》,紫果瓊漿,愛情,完結,,,,,,,,,
迷途,羽澤,愛情,完結,,,,,,,,,
朱湖,依澄Q,愛情,完結,,,,,,,,,
今晚的月色很美,星琛,愛情,完結,,,,,,,,,
狐染傾城,夏翎,愛情,完結,,,,,,,,,
如果你聽見,蔚海,愛情,完結,,,,,,,,,
悠然戲韶光,抒靈,愛情,完結,,,,,,,,,
一騎紅塵妃子笑 卷四：長相思(END),自初,愛情,完結,,,,,,,,,
一騎紅塵妃子笑 卷三：清平調,自初,愛情,完結,,,,,,,,,
一騎紅塵妃子笑 卷二：秋風詞,自初,愛情,完結,,,,,,,,,
一騎紅塵妃子笑 卷一：白頭吟,自初,愛情,完結,,,,,,,,,
夢迴羽憶然,蔚海,愛情,完結,,,,,,,,,
請你對我唱,蔚海,愛情,完結,,,,,,,,,
我和她的愛情進行式,青鷹,愛情,完結,,,,,,,,,
在。途,薇薇公主病,愛情,完結,,,,,,,,,
法蘭城的變革,狗妹,愛情,完結,,,,,,,,,
我想再見你一次,優析,愛情,完結,,,,,,,,,
戀上陰間鬼丈夫,流光,愛情,完結,,,,,,,,,
攝政王的掌中嬌,清粥醬菜,愛情,完結,,,,,,,,,
贈他情深不相思,斬桃,愛情,完結,,,,,,,,,
爆寵甜妻：影后太囂張,孟知,愛情,完結,,,,,,,,,
法醫娘親颯爆了,天下。,愛情,完結,,,,,,,,,
生存大佬她又狠又撩,禦七君,愛情,完結,,,,,,,,,
將門嬌，暴戾攝政王你被拿捏了！,見一抹綠,愛情,完結,,,,,,,,,
醫庶成狂：盛寵世子妃,藍衣初雲,愛情,完結,,,,,,,,,
醫見鍾情,辣筆小新,愛情,完結,,,,,,,,,
舊恨相思纏做繭,森林野生小石榴子,愛情,完結,,,,,,,,,
總有刁民害本宮,林遲染,愛情,完結,,,,,,,,,
錦繡良緣：撿個太子來種田,歐畢零三,愛情,完結,,,,,,,,,
錦繡田園，嬌俏村婦有點甜,鶯時醉,愛情,完結,,,,,,,,,
獨寵狼妃：王爺要惜身,妖紅,愛情,完結,,,,,,,,,
嬌妻來襲：推倒首席大人,慕容小杰,愛情,完結,,,,,,,,,
墨少的新婚罪妻不好惹,妍妍妮子,愛情,完結,,,,,,,,,
鳳妃謀,懸玲不語,愛情,完結,,,,,,,,,
辣妻天降：鬼夫去種田,葉兒綠,愛情,完結,,,,,,,,,
誘拐呆萌妻：少董寵愛無度,黛夢,愛情,完結,,,,,,,,,
蜜戀甜妻：早安，男神,阮郎歸,愛情,完結,,,,,,,,,
團寵萌妃超凶噠,安徒離,愛情,完結,,,,,,,,,
農門嬌寵：王妃原來是首富,杏花雨瓣兒,愛情,完結,,,,,,,,,
督軍，莫問歸妻,vivi薇安,愛情,完結,,,,,,,,,
爺，王妃又砸牌匾了,孜然粉哇,愛情,完結,,,,,,,,,
愛你情深意長,夏涼初,愛情,完結,,,,,,,,,
愛你入骨：老公請多指教,點絳唇,愛情,完結,,,,,,,,,
愛妃，你馬甲又被扒了,是阿灼啊,愛情,完結,,,,,,,,,
嫁入豪門後她甜翻了,墨小言,愛情,完結,,,,,,,,,
媽咪，爹地掐你桃花了,我是阿歡啊,愛情,完結,,,,,,,,,
馭獸女帝,戀月兒,愛情,完結,,,,,,,,,
貴女重生：將軍大人掌上寵,韻白,愛情,完結,,,,,,,,,
萌寶助攻，總裁奶爸要追妻,可可達鴨,愛情,完結,,,,,,,,,
報告爹地：媽咪是重生的,結寶,愛情,完結,,,,,,,,,
報告仙君：帝姬她，恃寵生嬌！,民小蘇,愛情,完結,,,,,,,,,
傅少，今天護短了嗎,奔跑的小米粒,愛情,完結,,,,,,,,,
閃婚蜜愛：異能嬌妻別亂來,花落瑾殤,愛情,完結,,,,,,,,,
追愛365天：宮少誘捕小淘妻,繁星落,愛情,完結,,,,,,,,,
追妻36計：王爺太難纏,吃蘿蔔的蘿蔔。,愛情,完結,,,,,,,,,
情禍,妝瓣兒,愛情,完結,,,,,,,,,
許卿百世無憂,胡蘿蔔大大,愛情,完結,,,,,,,,,
莫以浮生,路圓圓,愛情,完結,,,,,,,,,
盛世嫡妃：我為陛下平天下,珺婷,愛情,完結,,,,,,,,,
清風未醉人未歸,吃蘿蔔的蘿蔔。,愛情,完結,,,,,,,,,
情路漫漫，冷暖自知,無晴,愛情,完結,,,,,,,,,
情深予你終不悔,百里青青,愛情,完結,,,,,,,,,
庶女清歡：皇后會通靈,郁芳芳,愛情,完結,,,,,,,,,
庶女重謀，夫君上塌可好,柳十三,愛情,完結,,,,,,,,,
將軍千嬌百媚,燕思,愛情,完結,,,,,,,,,
婚然心動：嬌妻限時購,雲染,愛情,完結,,,,,,,,,
婚非得已：隱婚老公牆上寵,宋玥,愛情,完結,,,,,,,,,
國民夫人是女將,墨九爺,愛情,完結,,,,,,,,,
商少，夫人貓病又犯了,星小閃,愛情,完結,,,,,,,,,
陛下：皇后要出牆,唐銀,愛情,完結,,,,,,,,,
一縷飄散,柔兒,愛情,完結,,,,,,,,,
雨之畫作,楊寒,愛情,完結,,,,,,,,,
病弱王爺能寵妻,衾涼,愛情,完結,,,,,,,,,
留取春色滿京都,風煙殘霧,愛情,完結,,,,,,,,,
拿了反派劇本後我無敵了,袍今,愛情,完結,,,,,,,,,
重生醫妃：我家王爺帥爆了,白娉羽,愛情,完結,,,,,,,,,
重生為凰：毒妃寵上天,出山,愛情,完結,,,,,,,,,
蝦米？我的女友是笨蛋！,青鷹,愛情,完結,,,,,,,,,
七日花,姬沐,愛情,完結,,,,,,,,,
重生後大佬叫我小祖宗,妃小絳,愛情,完結,,,,,,,,,
穿越獸世：團寵萌醫生崽崽,斯恩,愛情,完結,,,,,,,,,
穿書之暴君攻略指南,林洛書,愛情,完結,,,,,,,,,
相思未休，蘇太傅請自重,狐青夜,愛情,完結,,,,,,,,,
為你漫山遍野,言多bi池。,愛情,完結,,,,,,,,,
毒寵天下：狂妃美又炸,綰公子,愛情,完結,,,,,,,,,
毒妃嫁到：這個王爺我要了,青果果,愛情,完結,,,,,,,,,
毒后為凰,蠻不講理,愛情,完結,,,,,,,,,
毒女重生：太子爺的心尖寵,伍六無七,愛情,完結,,,,,,,,,
昨夜暮已成舟,華樂清雅,愛情,完結,,,,,,,,,
幽洲願：此生唯求你,陌上無花,愛情,完結,,,,,,,,,
帝尊嬌寵小魔妃,甘卿玥,愛情,完結,,,,,,,,,
帝少心尖寵：花樣嬌妻太刁蠻,花陽,愛情,完結,,,,,,,,,
封少的專寵小綠梅,葉怪怪,愛情,完結,,,,,,,,,
南少，你老婆又跑了,風輕早,愛情,完結,,,,,,,,,
侯門庶女太妖嬈,菊花清茶,愛情,完結,,,,,,,,,
幸好流年遇到你,檀檀欒,愛情,完結,,,,,,,,,
妾心盛寵：王爺不如謀個反,魚本鹹,愛情,完結,,,,,,,,,
我親愛的傅先生,顧小染,愛情,完結,,,,,,,,,
我家夫人種田拯救我,拾七柒,愛情,完結,,,,,,,,,
快遞寶寶：總裁大人請簽收,萌寶寶,愛情,完結,,,,,,,,,
快穿系統：上劇情吧！,瘋狂的蘋果,愛情,完結,,,,,,,,,
快穿之宿主又在撩男配,風十柒,愛情,完結,,,,,,,,,
君見桃花色,緋瑟兒,愛情,完結,,,,,,,,,
妖孽夫君好難纏,妖家四少,愛情,完結,,,,,,,,,
不正常的戀愛關係(04)我想談一場正常的戀愛啊！(END),逢時,愛情,完結,,,,,,,,,
不正常的戀愛關係(03)壞掉的是自己還是世界？,逢時,愛情,完結,,,,,,,,,
你是我的星辰萬里,早藻,愛情,完結,,,,,,,,,
你是意料之外,林暮暮,愛情,完結,,,,,,,,,
不正常的戀愛關係(02)第一次三人行就達陣,逢時,愛情,完結,,,,,,,,,
不正常的戀愛關係(01)第一次調教奴隸就上手,逢時,愛情,完結,,,,,,,,,
吃貨相公財神妻,橙瓜攸攸,愛情,完結,,,,,,,,,
江山為聘：重生貴妃不好當,鳳梨蛋炒飯,愛情,完結,,,,,,,,,
總裁，請不務正業！,風城喵喵,愛情,完結,,,,,,,,,
尋找幸福要在穿越後,覓福,愛情,完結,,,,,,,,,
仵作小娘子,墨十二,愛情,完結,,,,,,,,,
本王的專寵愛妃,彥蕭蕭,愛情,完結,,,,,,,,,
看見新世界,楊寒,愛情,完結,,,,,,,,,
